City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
179,Atambua,ID,-9.1061,124.8925,74.75,85,100,3.13,overcast clouds
180,Klaksvik,FO,62.2266,-6.589,36.27,78,100,34.9,overcast clouds
181,Puerto Cabezas,NI,14.0351,-83.3888,83.14,61,100,16.06,overcast clouds
182,Ewa Beach,US,21.3156,-158.0072,73.13,62,16,16.64,few clouds
183,Urubicha,BO,-15.3833,-62.95,77.45,84,97,3.36,overcast clouds
184,Nyagan,RU,62.1406,65.3936,30.25,91,99,11.27,overcast clouds
185,Fort Nelson,CA,58.8053,-122.7002,-0.92,96,69,3.04,broken clouds
186,Teluk Intan,MY,4.0259,101.0213,73.76,96,99,1.52,moderate rain
187,Vilhena,BR,-12.7406,-60.1458,88.92,44,63,6.08,broken clouds
188,Beloha,MG,-25.1667,45.05,69.46,75,0,16.13,clear sky
189,Talnakh,RU,69.4865,88.3972,-17.59,98,95,7.78,overcast clouds
190,Coruripe,BR,-10.1256,-36.1756,85.14,66,96,18.79,overcast clouds
191,Qinzhou,CN,21.95,108.6167,65.16,61,28,10.18,scattered clouds
192,Mayo,US,38.8876,-76.5119,43.61,46,16,16.73,few clouds
193,Menfi,IT,37.6066,12.9678,49.78,71,87,30.06,overcast clouds
194,Bubaque,GW,11.2833,-15.8333,83.28,62,93,10.42,overcast clouds
195,Amarante,BR,-6.2411,-42.8547,98.76,31,41,7.74,scattered clouds
196,Hofn,IS,64.2539,-15.2082,29.62,65,100,11.61,overcast clouds
197,Carlisle,US,40.2015,-77.1889,39.61,47,27,13.94,scattered clouds
198,Bahia Blanca,AR,-38.7196,-62.2724,76.26,34,0,9.62,clear sky
199,Sandakan,MY,5.8402,118.1179,78.22,87,91,8.75,moderate rain
200,Jamestown,US,42.097,-79.2353,30.29,84,72,7.78,broken clouds
201,Guarapari,BR,-20.6667,-40.4975,80.8,78,9,6.26,clear sky
202,Kjollefjord,NO,70.9457,27.3465,16.32,86,99,19.51,overcast clouds
203,Huaihua,CN,27.5494,109.9592,49.96,91,100,3.47,overcast clouds
204,Benguela,AO,-12.5763,13.4055,79.39,75,77,7.49,broken clouds
205,Camacari,BR,-12.6975,-38.3242,82.24,73,73,5.1,light rain
206,Frutigen,CH,46.5878,7.6475,21.45,99,96,0.74,overcast clouds
207,Astoria,US,46.1879,-123.8313,53.96,93,99,4.16,overcast clouds
208,Vestmannaeyjar,IS,63.4427,-20.2734,36.64,99,100,29.68,moderate rain
209,Mugumu,TZ,-1.85,34.7,64.89,82,100,3.85,light rain
210,Fangshan,CN,39.6983,115.9925,40.08,45,11,8.79,few clouds
211,Koumac,NC,-20.5667,164.2833,78.03,82,3,2.93,clear sky
212,Beyneu,KZ,45.3167,55.2,40.3,57,4,10.85,clear sky
213,Geraldton,AU,-28.7667,114.6,66.09,75,16,20.04,few clouds
214,Katsuura,JP,35.1333,140.3,56.93,69,32,11.7,scattered clouds
215,Tommot,RU,58.9564,126.2925,-0.74,99,100,1.43,overcast clouds
216,Owensboro,US,37.7742,-87.1133,42.71,30,14,7.27,few clouds
217,Cabedelo,BR,-6.9811,-34.8339,84.58,64,56,12.03,broken clouds
218,Hovd,MN,48.0056,91.6419,16.59,41,5,1.7,clear sky
219,Asmar,AF,35.0333,71.3581,53.96,39,12,9.44,few clouds
220,Manta,EC,-0.95,-80.7333,75.0,74,95,11.77,overcast clouds
221,Saint George,US,37.1041,-113.5841,62.42,24,0,3.15,clear sky
222,Bonnyville,CA,54.2668,-110.735,24.78,91,2,6.51,clear sky
223,Kurilsk,RU,45.2333,147.8833,41.11,84,88,12.71,overcast clouds
224,Bredasdorp,ZA,-34.5322,20.0403,67.15,62,27,18.34,scattered clouds
225,Laksham,BD,23.2472,91.1425,63.9,64,65,6.02,broken clouds
226,Maribo,DK,54.7766,11.5002,34.27,77,10,7.47,clear sky
227,New Norfolk,AU,-42.7826,147.0587,47.61,98,22,2.68,few clouds
228,Pueblo Nuevo,MX,23.3833,-105.3833,68.56,40,71,1.32,broken clouds
229,Kutum,SD,14.2,24.6667,76.53,22,60,9.93,broken clouds
230,Senanga,ZM,-16.1167,23.2667,80.2,45,97,5.93,overcast clouds
231,Ambon,ID,-3.6954,128.1814,82.02,77,97,6.22,overcast clouds
232,Sindor,RU,62.8629,51.8905,-4.34,100,98,2.8,overcast clouds
233,Airai,TL,-8.9266,125.4092,61.39,86,100,1.5,overcast clouds
234,Port-De-Bouc,FR,43.4,4.9833,43.11,61,0,35.21,clear sky
235,Codrington,AU,-38.2667,141.9667,52.7,77,0,5.59,clear sky
236,Mastic Beach,US,40.7668,-72.8521,40.68,62,94,12.1,overcast clouds
237,Deputatskiy,RU,69.3,139.9,-14.13,97,100,4.56,overcast clouds
238,Port Elizabeth,ZA,-33.918,25.5701,66.65,79,94,7.74,overcast clouds
239,Kununurra,AU,-15.7667,128.7333,88.52,35,30,7.18,scattered clouds
240,Bulnes,CL,-36.7423,-72.2985,81.18,19,17,11.43,few clouds
241,Calbuco,CL,-41.768,-73.1273,56.64,71,70,11.97,broken clouds
242,Kensington,AU,-33.9167,151.2167,62.1,86,68,2.64,broken clouds
243,San Cristobal,VE,7.7669,-72.225,83.03,51,96,7.31,overcast clouds
244,Suksun,RU,57.1431,57.3949,31.15,96,100,9.75,overcast clouds
245,Longyearbyen,SJ,78.2186,15.6401,5.0,90,62,8.41,broken clouds
246,Puerto Rico,AR,-26.796,-55.024,82.49,32,0,6.58,clear sky
247,San Patricio,US,28.017,-97.5169,64.04,55,20,3.98,few clouds
248,Tezu,IN,27.9167,96.1667,62.35,50,41,4.41,scattered clouds
249,Kahului,US,20.8947,-156.47,72.55,71,13,15.43,few clouds
250,Alpena,US,45.0617,-83.4327,33.78,75,28,8.05,scattered clouds
251,Thompson,CA,55.7435,-97.8558,20.23,93,100,6.15,light snow
252,Mangan,IN,27.5167,88.5333,58.12,57,70,4.36,broken clouds
